Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00060346,1,Rituximab and Combination Chemotherapy in Treating Patients With Newly Diagnosed Waldenstrom's Macroglobulinemia,Treatment,Single Group Assignment,Open Label,,Biological|Drug|Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Heart and Blood Diseases|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,4-Jun,6-May-03,11-Dec,12-Aug,10-Jan-13,slow accrual,,2,16,Actual,37,,TRUE,,16,16,16,0.43,16,16,0,,2 - No Scientific Data
NCT00063258,1,Tarceva Surgery for Resectable Stage IIIA(N2) and IIIB (T4 N2) Non-Small-Cell Lung Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,OTHER,,Single,United States,3-Jun,24-Jun-03,8-Apr,8-Apr,25-Aug-10,Low accrual rate,,2,5,Actual,40,,TRUE,,5,5,1,0.13,1,5,0,,2 - No Scientific Data
NCT00063934,0,Oblimersen Plus Doxorubicin and Docetaxel in Treating Patients With Metastatic or Locally Advanced Breast Cancer,Treatment,Single Group Assignment,Open Label,,Biological|Drug|Drug|Biological|Biological|Procedure|Other|Other,Phase 1|Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Rare Diseases,NIH,,Single,United States,3-May,8-Jul-03,8-Feb,,10-Jul-12,,,9,69,Actual,31,Actual,FALSE,F,31,31,30,1,30,30,1,19047121,3 - No Reason Provided
NCT00070291,1,Cyclosporine in Treating Patients With Recurrent or Refractory Angioimmunoblastic T-Cell Lymphoma,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-Sep,3-Oct-03,9-Mar,11-May,7-Jan-13,Slow accrual.,,2,4,Actual,27,,TRUE,,4,4,4,0.15,2,3,0,,2 - No Scientific Data
NCT00073008,1,A Study Of Oral GW572016 In Advanced Or Metastatic Non-Small Cell Lung Cancer,Treatment,Single Group Assignment,Open Label,Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Behaviors and Mental Disorders,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada|Canada|Canada|Canada,3-Nov,13-Nov-03,8-Jul,8-Jul,15-Jun-09,"Based on interim analysis at the end of Stage 1, and predefined stopping rules for futility, further enrollment was stopped due to lack of efficacy",,6,131,Actual,120,,TRUE,,131,131,56,1.09,32,131,1,20215545,1 - Scientific Data
NCT00074165,1,Treating Patients With Recurrent PCNSL With Carboplatin/BBBD and Adding Rituxan To The Treatment Regimen,Treatment,Single Group Assignment,Open Label,,Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Nervous System Diseases|Rare Diseases,OTHER,,Multiple,United States|United States,3-Jan,10-Dec-03,10-Jun,10-Dec,10-Oct-11,Lack of accrual,,2,17,Actual,25,,TRUE,,17,17,17,0.68,16,17,0,,2 - No Scientific Data
NCT00076804,1,Helping HIV Infected Patients in South Africa Adhere to Drug Regimens,Treatment,Parallel Assignment,Open Label,Randomized,Behavioral,Phase 2,"Viral Diseases|Immune System Diseases|All Conditions|Symptoms and General Pathology|Bacterial and Fungal Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions",OTHER,,Single,South Africa,5-Feb,3-Feb-04,8-Sep,8-Sep,1-Jun-10,DSMB stopped trial for futility,,6,274,Actual,600,,TRUE,,274,274,272,0.46,48,274,1,20453627,1 - Scientific Data
NCT00080119,1,Daily Isoniazid to Prevent Tuberculosis in Infants Born to Mothers With HIV,Prevention,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 2|Phase 3,"Bacterial and Fungal Diseases|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases|Viral Diseases|Immune System Diseases|Symptoms and General Pathology|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",NETWORK,,Multiple,Botswana|South Africa|South Africa|South Africa|South Africa|South Africa,4-Feb,23-Mar-04,9-May,9-May,1-Jul-10,Data Safety Monitoring Board (DSMB) recommended stopping study due to futility,,6,1354,Actual,1300,,FALSE,E,1351,1354,804,1.04,140,1351,1,21732834,1 - Scientific Data
NCT00083759,0,Natalizumab in the Treatment of Rheumatoid Arthritis in Subjects Receiving Methotrexate,Treatment,Parallel Assignment,Double-Blind,Randomized,Drug|Drug,Phase 2,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Immune System Diseases",INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada,4-May,1-Jun-04,5-Feb,,27-Jan-09,The biological effect seen with natalizumab was not sufficient to warrant further development in RA.,,6,299,Actual,299,Actual,TRUE,,299,299,273,1,,,0,,1 - Scientific Data
NCT00086346,1,Study Evaluating of Calcineurin Inhibitor and Sirolimus (Rapamune) Treatment in Liver Transplant Recipients,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Belgium|Canada|Canada|Canada|Czech Republic|France|France|France|France|France|France|Germany|Germany|Germany|Italy|Italy|Italy|Netherlands|Portugal|Portugal|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Switzerland|Switzerland|United Kingdom|United Kingdom|United Kingdom,2-Dec,30-Jun-04,8-Jul,8-Jul,6-Jul-09,,,9,607,Actual,600,,TRUE,,607,607,607,1.01,272,,1,22233522,3 - No Reason Provided
NCT00086684,1,Effectiveness and Safety Study of Pentosan Polysulfate Sodium for the Treatment of Interstitial Cystitis,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 4,"Nervous System Diseases|Symptoms and General Pathology|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions",INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,3-Sep,7-Jul-04,11-Jun,11-Jun,31-May-12,Interim Analysis showed that study continuation was futile. No safety concerns were raised during the trial.,,6,369,Actual,645,,TRUE,,369,369,368,0.57,8,368,0,,1 - Scientific Data
NCT00089076,1,MDX-010 in Treating Patients With Recurrent or Refractory Lymphoma,Treatment,Single Group Assignment,Open Label,,Biological,Phase 1|Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Multiple,United States|United States,4-Jul,4-Aug-04,8-Jul,11-Dec,11-May-12,"Due to study design, this trial closed to accrual prior to opening the phase II portion.",,4,18,Actual,36,,TRUE,,18,18,18,0.5,8,18,1,19808874,2 - No Scientific Data
NCT00089141,1,Mycophenolate Mofetil (MMF) for Treatment of Chronic Graft-versus-host Disease (GVHD),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,"Viral Diseases|Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Skin and Connective Tissue Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Gland and Hormone Related Diseases|Heart and Blood Diseases|Symptoms and General Pathology|Rare Diseases",OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada,4-May,4-Aug-04,8-Jul,8-Sep,15-Jul-09,Low probability of positive outcome,,6,151,Actual,230,,TRUE,,151,151,151,0.66,,,1,19270260,1 - Scientific Data
NCT00089778,1,Vaccine Treatment of Kidney Cancer,Treatment,Crossover Assignment,Open Label,Randomized,Drug|Drug|Other,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions|Rare Diseases",NIH,,Single,United States,4-Aug,12-Aug-04,8-Nov,8-Nov,25-Jun-12,Finding that fewer tumors than anticipated expressed FGF-5 led to the termination of accrual to cohorts A and B.,,6,11,Actual,210,,TRUE,,11,11,11,0.05,2,11,0,,1 - Scientific Data
NCT00090779,1,Nine Month Course of Anti-HIV Medications for People Recently Infected With HIV,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 2,"Viral Diseases|Immune System Diseases|All Conditions|Symptoms and General Pathology|Bacterial and Fungal Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions",NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Peru|Peru,5-Jan,3-Sep-04,9-Jul,11-May,2-Jul-12,The DSMB concluded that the findings regarding the primary analysis would persist and that no additional study goals would be achieved by continuing the study.,,6,130,Actual,150,,TRUE,,130,130,130,0.87,1,130,1,22180621,1 - Scientific Data
NCT00090844,1,Triptorelin for Preserving Ovarian Function in Premenopausal Women Receiving Chemotherapy for Early-Stage Breast Cancer,Supportive Care,Parallel Assignment,Open Label,Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Substance Related Disorders|Behaviors and Mental Disorders,OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States,4-Jul,7-Sep-04,8-May,8-May,30-Nov-12,Early closure due to low accrual,,2,49,Actual,138,,TRUE,,49,49,47,0.36,2,49,1,22231041,2 - No Scientific Data
NCT00095576,1,Investigation of V520 in an HIV Vaccine Proof-of-Concept Study (V520-023),Prevention,Parallel Assignment,Double Blind,Randomized,Biological|Drug,Phase 2,"Viral Diseases|Immune System Diseases|All Conditions|Symptoms and General Pathology|Bacterial and Fungal Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions",INDUSTRY,,,,4-Nov,5-Nov-04,9-Dec,9-Dec,20-Jul-11,,,9,3000,Actual,1500,Anticipated,FALSE,E,2979,3000,2979,2,36,2979,1,19012954,3 - No Reason Provided
NCT00096460,1,Autologous or Donor Stem Cell Transplantation in Treating Patients With Recurrent Non-Hodgkin's Lymphoma,Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Procedure|Procedure|Procedure|Procedure|Procedure|Procedure,Phase 2|Phase 3,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,4-Aug,9-Nov-04,6-Mar,9-Mar,16-Aug-11,lower than anticipated accrual,,2,30,Actual,75,,TRUE,,30,30,27,0.4,0,27,1,21073974,2 - No Scientific Data
NCT00104728,1,Neoadjuvant IRESSA As Single Agent PreopTherapy for NSCLC With Molecular Correlates,Treatment,Single Group Assignment,Open Label,,Drug,,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,OTHER,,Single,United States,4-Oct,3-Mar-05,8-May,9-Mar,1-Oct-12,Early Stopping Rule: Would not meet interim analysis goal to proceed with enrollment,,6,42,Actual,50,,TRUE,,42,42,0,0.84,0,42,1,20881637,1 - Scientific Data
NCT00107614,1,"DT PACE, Tandem Autologous Transplant, Maintenance Therapy for Waldenstrom's Macroglobulinemia Patients",Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,2-Nov,5-Apr-05,8-Feb,8-Feb,15-Apr-11,Terminated due to poor accrual.,,2,12,Actual,25,,TRUE,,12,12,0,0.48,6,12,0,,2 - No Scientific Data
NCT00108433,0,Linezolid in the Treatment of Hemodialysis Patients With Catheter-Related Gram-Positive Bloodstream Infections,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 3,Bacterial and Fungal Diseases|Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|Colombia|Colombia|Colombia|India|India|India|India|India|India|Israel|Italy|Poland|Slovakia|Slovakia,5-Sep,15-Apr-05,,6-Sep,28-Jun-12,See Detailed Description,"Pfizer suspended enrollment on 21 August 2006 as a precautionary measure in light of the mortality imbalance seen in a similar study, and terminated the study on April 6, 2007 due to factors affecting the timeline to completion, such as slow enrollment and inclusion of sufficient evaluable subjects.",7,61,Actual,332,,TRUE,,61,61,0,0.18,10,61,0,,2 - No Scientific Data
NCT00109577,1,Clinical Trial of a Nutritional Supplement in Adults With Bipolar Disorder,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Behaviors and Mental Disorders|All Conditions,OTHER,,Multiple,United States|Canada,5-Apr,28-Apr-05,9-Mar,9-Mar,25-Jun-12,Unable to recruit large enough sample; large expectancy effects but no adverse events,,2,40,Actual,96,,TRUE,,40,40,40,0.42,0,40,0,,2 - No Scientific Data
NCT00109850,1,"S0414 Cetuximab, Combo Chemo, and RT in Locally Advanced Esophageal Cancer",Treatment,Single Group Assignment,Open Label,,Biological|Drug|Drug|Radiation,Phase 2,Cancers and Other Neoplasms|All Conditions|Digestive System Diseases|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-May,3-May-05,9-Sep,12-May,14-Jun-12,Closed due to poor accrual,,2,22,Actual,100,,TRUE,,22,22,21,0.22,3,21,1,22481235,2 - No Scientific Data
NCT00112905,1,Sorafenib in Treating Patients With Regional or Metastatic Cancer of the Urothelium,Treatment,Single Group Assignment,Open Label,,Drug|Other|Other|Other,Phase 2,"Cancers and Other Neoplasms|All Conditions|Symptoms and General Pathology|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",NIH,,Single,United States,5-Oct,2-Jun-05,8-Mar,,30-Dec-10,,,9,27,Actual,53,,TRUE,,27,27,22,0.51,15,27,1,19536901,3 - No Reason Provided
NCT00113022,1,Org 24448 to Treat Major Depression,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Behaviors and Mental Disorders|All Conditions,NIH,,Multiple,United States|United States,5-May,2-Jun-05,7-Feb,7-Feb,13-Apr-11,Terminated due to concerns about adverse events in separate study.,,7,9,Actual,90,,TRUE,,9,9,9,0.1,1,9,0,,2 - No Scientific Data
NCT00113321,1,Low-Dose Decitabine in Myelodysplastic Syndrome Post Azacytidine Failure,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,5-Mar,7-Jun-05,8-Nov,8-Nov,25-Sep-09,Low Accrual,,2,16,Actual,40,,TRUE,,16,16,16,0.4,6,16,1,18398735,2 - No Scientific Data
NCT00113386,1,Cisplatin and Docetaxel With or Without Radiation Therapy in Treating Patients Who Are Undergoing Surgery for Newly Diagnosed Stage III Non-Small Cell Lung Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Biological|Biological|Drug|Drug|Procedure|Procedure|Procedure|Radiation,Phase 3,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-Apr,7-Jun-05,9-Feb,,27-Nov-12,This study terminated early due to low accrual.,,2,19,Actual,574,,TRUE,,19,19,0,0.03,9,16,0,,2 - No Scientific Data
